id,app_id,pos_text,neg_text,label
1,125_My Family - Family Locator,"b'We may, and you hereby authorize us to, disclose your Personal Information (including messages) to a third party without your consent: if we have reason to believe that disclosing this information is necessary to identify, contact or bring legal action against someone who may be causing injury to or interference with (either intentionally or unintentionally) our rights or property, other website users, or anyone else (including the rights or property of anyone else) that could be harmed by such activities, in connection with any legal investigation, when we believe in good faith that such disclosure is required by and in accordance with the law or to respond to subpoenas or warrants served on Family Locator, to any third party with your prior consent to do so.
Except for the limited disclosures described in this Privacy Policy, we do not sell customer lists or any personal information to third parties, and we will take all possible measures to keep your email address private to keep your email address private.'",b'We will not share any Personal Data with third-parties for their direct marketing purposes to the extent prohibited by California law.',0
2,5_ChatGPT,"b'Identifiers, such as your name, contact details, IP address, and other device identifiers We may disclose this information to our affiliates, vendors and service providers to process in accordance with our instructions; to law enforcement and other third parties for the legal reasons described above; to parties involved in Transactions; to corporate administrators of enterprise or team accounts; and to other users and third parties you choose to share it with.'","b'Disclosure of personal information In certain circumstances we may provide your Personal Information to third parties without further notice to you, unless required by the law vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may provide Personal Information to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, email communication software, web analytics services, and other information technology providers, among others.'",1
3,147_Taimi - LGBTQ+ Dating & Chat,"b'Taimi does not process payment card information directly; however, our third-party payment processors may provide certain information to us (e.g., your name, address, partial payment card number, and e-mail address).'","b'We do not exchange your personal data for monetary consideration with third parties, so no opt-out choice is necessary for that.'",1
4,147_Taimi - LGBTQ+ Dating & Chat,"b'Taimi does not sell personal information for monetary consideration; however, we may share certain personal information with third parties under circumstances which might be deemed a ""sale"" or ""share"" under CPPA for ""interest-based advertising"" or ""cross-context behavioral advertising.
Please note that Taimi may stop to share your personal information only with third parties, Hilly may continue to share your personal information with service providers and contractors to provide you Service.'","b'We do not exchange your personal data for monetary consideration with third parties, so no opt-out choice is necessary for that.'",1
5,111_Pandora - Music & Podcasts,"b'We may share data that has been aggregated, de-identified, or pseudonymized or Device Data, and general location information with advertising companies, analytics providers, and attribution and measurement vendors, including for the purpose of serving you more relevant ads on and off the Services.'",b'Sirius XM does not sell personal data to third parties for monetary compensation.',2
6,111_Pandora - Music & Podcasts,"b'We, our service providers, or third parties with whom we have a business relationship may automatically collect and store certain data about your device when you visit or interact with the Services (""Device Data"").
Enabled Radios may transmit Device Data and your listening history or preferences to us, our service providers, and the automotive manufacturer when you use the Services.'",b'Sirius XM does not sell personal data to third parties for monetary compensation.',2
7,111_Pandora - Music & Podcasts,"b""If you choose to enter a Promotion, personal data may be disclosed to third parties, to vendors facilitating the implementation of the Promotion, or to the public in connection with the administration of such Promotion, including in connection with winner selection, prize fulfillment, as required by law, or as permitted by the Promotion's terms or official rules.
We may share your personal data with unaffiliated third parties with whom we have a business relationship for ours or for their own business and advertising purposes.
We share your personal data for business purposes with our subsidiaries, third party service providers, vendors and licensors, other Sirius XM users when you provide access to your subscription, and unaffiliated third-party business relationships for business and advertising purposes.""",b'Sirius XM does not sell personal data to third parties for monetary compensation.',2
8,111_Pandora - Music & Podcasts,"b'We share your personal data for business purposes with our subsidiaries, third party service providers, vendors and licensors, other Sirius XM users when you provide access to your subscription, and unaffiliated third-party business relationships for business and advertising purposes.'",b'Sirius XM does not sell personal data to third parties for monetary compensation.',2
9,169_AI Video Editor - Vidma AI Cut,"b'We may permit third parties to collect personal information through our Services and share each of the categories of personal information described above with third parties for business purposes.
Whenever we transfer your personal data to third parties located in other countries, we will ensure that these companies comply with applicable data protection laws and we will take all measures that are reasonably necessary to ensure the existence of adequate safeguards to protect your personal data and to ensure that are processed safely.'",b'We do not sell personal information to third parties for purposes of the CCPA.',2
10,123_HubbleClub By Hubble Connected,"b""The company may use your personal data for the following purposes: to manage Your Account: Manage your registration as a user of the service.
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental consent or by the parent or guardian of the child: first and last name
The company may disclose your personal data in the good faith belief that such action is necessary to protect the personal safety of Users of the Service or the public.
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental consent or by the parent or guardian of the child: date of birth
The company may disclose your personal data in the good faith belief that such action is necessary to comply with a legal obligation.
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental consent or by the parent or guardian of the child: parent's or guardian's name
The company may disclose your personal data in the good faith belief that such action is necessary to protect and defend the rights or property of the company.
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental consent or by the parent or guardian of the child: telephone number.
We may share your personal information in the following situations: with business partners:We may share your information with our business partners to offer you certain products, services, or promotions.
We may share your personal information in the following situations: for business transfers:We may share or transfer your personal information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of Our business to another company.
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental consent or by the parent or guardian of the child: email address.
The company may use your personal data for the following purposes: to provide and maintain our Service: Including monitoring the usage of our service.
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental consent or by the parent or guardian of the child: gender
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental consent or by the parent or guardian of the child: audio Messages
We may share your personal information in the following situations: with Service Providers:We may share your personal information with service providers to monitor and analyze the use of our service like IT and hosting providers, for payment processing.
We may disclose/share, or may have disclosed/shared in the last twelve months your personal information identified in the above categories with the following categories of third parties: third party vendors to whom you or your agents authorize us to disclose your personal information in connection with products or services we provide to you.
We may share your personal information in the following situations: with Affiliates:We may share your information with our affiliates, in which case we will require those affiliates to honor this privacy policy.
The Company may collect and store the following types of personal information about a child when submitted by a child with prior parental consent or by the parent or guardian of the child: parent's or guardian's email address
The company may disclose your personal data in the good faith belief that such action is necessary to prevent or investigate possible wrongdoing in connection with the service.
The company may disclose your personal data in the good faith belief that such action is necessary to protect against legal liability.""",b'Please be assured that we will not transfer your registration information to third parties for commercial purposes.',2
